image_name,cluster_id,AccoID,AccoDocNo,AccoDate,timestamp,AccoAmount,Quantity,Discount,UnitPrice,StockCateDesc,StockName,StockDesciption,predicted_gender,confidence,predicted_age,age_confidence
cluster_102_AccoID_1169213_20251105_121250.png,102,1169213,224638/122,2025-11-05 12:14:00,2025-11-05 12:12:50,-222.0,4.0,0.0,8.0,Extra,EXTRA,egg breakfast,Female,0.882,41–55,0.373
cluster_102_AccoID_1169213_20251105_121250.png,102,1169213,224638/122,2025-11-05 12:14:00,2025-11-05 12:12:50,-222.0,2.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino decaf,Female,0.882,41–55,0.373
cluster_102_AccoID_1169213_20251105_121250.png,102,1169213,224638/122,2025-11-05 12:14:00,2025-11-05 12:12:50,-222.0,2.0,0.0,59.0,Breakfast,BREAKFAST,avo and toast,Female,0.882,41–55,0.373
cluster_103_AccoID_1169455_20251105_132037.png,103,1169455,224676/159,2025-11-05 13:21:00,2025-11-05 13:20:37,-190.0,2.0,0.0,59.0,Cakes Scones Muffins,SCONE,cheese jam and cream,Female,0.976,21–30,0.498
cluster_103_AccoID_1169455_20251105_132037.png,103,1169455,224676/159,2025-11-05 13:21:00,2025-11-05 13:20:37,-190.0,2.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.976,21–30,0.498
cluster_104_AccoID_1168811_20251105_102639.png,104,1168811,224572/17,2025-11-05 10:28:00,2025-11-05 10:26:39,-75.0,1.0,0.0,39.0,Beverages Cold,ICE COFFEE,condensed milk,Female,0.949,66-80,0.563
cluster_104_AccoID_1168811_20251105_102639.png,104,1168811,224572/17,2025-11-05 10:28:00,2025-11-05 10:26:39,-75.0,1.0,0.0,36.0,Beverages Tea,RED CAPPUCCINO,none,Female,0.949,66-80,0.563
cluster_105_AccoID_1169616_20251105_144808.png,105,1169616,224699/105,2025-11-05 14:49:00,2025-11-05 14:48:08,-172.0,2.0,0.0,25.0,Cakes Scones Muffins,SCONE,scone only,Female,0.904,41–55,0.336
cluster_105_AccoID_1169616_20251105_144808.png,105,1169616,224699/105,2025-11-05 14:49:00,2025-11-05 14:48:08,-172.0,2.0,0.0,49.0,Cakes Scones Muffins,SCONE,cream jam,Female,0.904,41–55,0.336
cluster_105_AccoID_1169616_20251105_144808.png,105,1169616,224699/105,2025-11-05 14:49:00,2025-11-05 14:48:08,-172.0,1.0,0.0,24.0,Beverages Tea,TEA,tea five roses,Female,0.904,41–55,0.336
cluster_106_AccoID_1169611_20251105_144543.png,106,1169611,224698/181,2025-11-05 14:46:00,2025-11-05 14:45:43,-29.0,1.0,0.0,29.0,Mineral cooldrinks,COKE,original  ,Female,0.938,41–55,0.452
cluster_107_AccoID_1169507_20251105_134729.png,107,1169507,224684/166,2025-11-05 13:47:00,2025-11-05 13:47:29,-54.0,1.0,0.0,25.0,Beverages Coffee,COFFEE,americano,Female,0.989,21–30,0.384
cluster_107_AccoID_1169507_20251105_134729.png,107,1169507,224684/166,2025-11-05 13:47:00,2025-11-05 13:47:29,-54.0,1.0,0.0,29.0,Beverages Coffee,COFFEE,cappuccino,Female,0.989,21–30,0.384
cluster_109_AccoID_1169155_20251105_120011.png,109,1169155,224627/113,2025-11-05 12:01:00,2025-11-05 12:00:11,-30.0,1.0,0.0,30.0,Extra,EXTRA,chicken curry,Female,0.993,21–30,0.602
cluster_110_AccoID_1168902_20251105_104802.png,110,1168902,224587/69,2025-11-05 10:48:00,2025-11-05 10:48:02,-210.0,2.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.913,66-80,0.67
cluster_110_AccoID_1168902_20251105_104802.png,110,1168902,224587/69,2025-11-05 10:48:00,2025-11-05 10:48:02,-210.0,2.0,0.0,69.0,Cakes Cheese,CHEESE CAKE,baked sour cream berry coulis,Female,0.913,66-80,0.67
cluster_111_AccoID_1168902_20251105_104754.png,111,1168902,224587/69,2025-11-05 10:48:00,2025-11-05 10:47:54,-210.0,2.0,0.0,36.0,Beverages Coffee,COFFEE,cappuccino,Female,0.942,66-80,0.68
cluster_111_AccoID_1168902_20251105_104754.png,111,1168902,224587/69,2025-11-05 10:48:00,2025-11-05 10:47:54,-210.0,2.0,0.0,69.0,Cakes Cheese,CHEESE CAKE,baked sour cream berry coulis,Female,0.942,66-80,0.68
